
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+19)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 49 (+12)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 49 (+12)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+12)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+12)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=01_Funk1-97-C_comp_mic.wav, Pass=2, Reason=Overtone of 55 (+12)
[Heuristic-DryRun] Track=01_Funk1-97-C_comp_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=01_Funk1-97-C_comp_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=01_Funk1-97-C_comp_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=01_Funk1-97-C_comp_mic.wav, Pass=2, Reason=Overtone of 60 (+12)
[Heuristic-DryRun] Track=01_Funk1-97-C_comp_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_solo_mic.wav, Pass=1, Reason=Melodic smoothing (p1=69, p2=55->67, p3=68)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_solo_mic.wav, Pass=2, Reason=Overtone of 73 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=1, Reason=Melodic smoothing (p1=57, p2=69->57, p3=57)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 57 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 57 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 57 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 62 (+12)
[Heuristic-DryRun] Track=00_Rock2-142-D_solo_mic.wav, Pass=2, Reason=Overtone of 62 (+12)
[Heuristic-DryRun] Track=04_Rock1-130-A_solo_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=04_Rock1-130-A_solo_mic.wav, Pass=2, Reason=Overtone of 57 (+12)
[Heuristic-DryRun] Track=04_Rock1-130-A_solo_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=05_SS2-88-F_solo_mic.wav, Pass=2, Reason=Overtone of 73 (+12)
[Heuristic-DryRun] Track=05_SS2-88-F_solo_mic.wav, Pass=2, Reason=Overtone of 72 (+12)
[Heuristic-DryRun] Track=05_SS2-88-F_solo_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=05_SS2-88-F_solo_mic.wav, Pass=2, Reason=Overtone of 70 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 51 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 53 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 46 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 46 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 51 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 51 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 45 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 43 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 43 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 46 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 46 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 46 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 51 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 51 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 50 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 43 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 43 (+12)
[Heuristic-DryRun] Track=02_Funk2-119-G_comp_mic.wav, Pass=2, Reason=Overtone of 43 (+12)

